municipio,area_muni_km2,area_inundable_km2,pct_inundable
ZARAGOZA,1195.2389506609502,161.65391754125264,13.524820074836107
TARAZA,1175.9890720294768,46.17481246425012,3.926466117968545
CHIGORODO,737.9542763781743,164.58314839361822,22.302621403778602
CAREPA,396.2831063560519,135.62767310364129,34.22494447234465
CACERES,1919.2264773376426,208.32734432676517,10.854755641749875
EL BAGRE,1598.6924745994054,131.8567018311768,8.24778398135745
APARTADO,547.9740554236874,70.83853118914513,12.927351302129361
CAUCASIA,1465.4731243222782,317.18003900608414,21.64352479358958
NECHI,961.8368051071309,388.4094508219131,40.38205325056691
TURBO,2988.45941840641,1211.0310231151539,40.523589367023554
SAN PEDRO DE URABA,618.6474048101649,10.507939006333114,1.6985344033824128
NECOCLI,1289.2327086855316,63.30946335435467,4.910631178362157
SAN JUAN DE URABA,259.0408716987256,1.8078889986221813,0.6979165051316014
ARBOLETES,775.192816243192,12.42585254988992,1.6029370099311786
